africa,latitude,longitude
africa,31.03194444,32.51555556
africa,31.56111111,30.92472222
africa,30.9,29.16972222
africa,32.61,23.11138889
africa,32.86888889,22.21777778
africa,32.65555556,20.80444444
africa,31.75666667,19.90388889
africa,31.18416667,20.20138889
africa,30.43833333,19.65861111
africa,30.43277778,18.70305556
africa,31.0825,17.42194444
africa,31.36833333,16.04944444
africa,32.39583333,15.23277778
africa,32.76805556,14.10472222
africa,32.86305556,12.37055556
africa,33.87027778,10.97666667
africa,33.69583333,10.41944444
africa,34.25888889,10.03888889
africa,35.25444444,11.07916667
africa,36.22916667,10.455
africa,37.20111111,10.93583333
africa,36.85861111,-4.64583333
africa,36.10277778,-0.12027778
africa,35.17944444,-1.75777778
africa,35.27111111,-4.11444444
africa,35.29527778,-4.85416667
africa,35.92055556,-5.38027778
africa,35.95277778,-5.89805556
africa,33.96,-6.99416667
africa,32.85444444,-9.24416667
africa,30.5125,-9.62611111
africa,27.97833333,-12.93333333
africa,21.40111111,-17.04388889
africa,17.73277778,-16.07611111
africa,14.95666667,-17.29166667
africa,12.46972222,-16.75833333
africa,9.76777778,-13.64194444
africa,7.57083333,-12.60305556
africa,5.10388889,-9.18083333
africa,4.33166667,-7.4825
africa,5.6125,5.26194444
africa,4.55,5.84666667
africa,4.69222222,5.47777778
africa,3.15638889,9.90111111
africa,-0.60361111,8.83833333
africa,-8.64277778,13.20722222
africa,-12.03361111,13.70305556
africa,-17.54611111,11.71444444
africa,-22.44527778,14.41472222
africa,-33.79416667,18.3625
africa,-33.69916667,26.45027778
africa,-28.73611111,32.26055556
africa,-25.64388889,32.8325
africa,-24.6575,35.08916667
africa,-22.15333333,35.51972222
africa,-19.86527778,34.7875
africa,-17.59694444,37.45333333
africa,-16.36,39.67777778
africa,-14.98805556,40.76944444
africa,-10.59333333,40.56361111
africa,-10.03805556,39.71166667
africa,-7.175,39.52805556
africa,-6.41833333,38.85277778
africa,-4.62972222,39.33
africa,-3.01138889,40.195
africa,-2.73444444,40.09472222
africa,-2.55055556,40.55833333
africa,-1.61055556,41.56555556
africa,1.65472222,44.64166667
africa,2.41722222,45.96444444
africa,3.94527778,47.43138889
africa,7.01694444,49.4175
africa,9.42333333,50.83055556
africa,11.80944444,51.30972222
africa,10.4175,44.71861111
africa,11.34444444,43.55277778
africa,11.49944444,42.5775
africa,11.97472222,43.40861111
africa,12.84666667,43.04833333
africa,15.43888889,39.85944444
africa,15.92472222,39.27972222
africa,18.16583333,38.49111111
africa,18.77861111,37.51722222
africa,22.02944444,36.90972222
africa,22.9875,35.65777778
africa,23.94916667,35.80666667
africa,27.77972222,33.44027778
africa,31.03194444,32.51555556